"","Sample_1","Sample_2","bMNTD","mean_bMNTD","sd_bMNTD","bNTI"
"1","sample10","sample1",0.00502486195353628,0.00343598688200961,0.00181429247995543,0.8757546476551
"2","sample11","sample1",0.00765164504177157,0.00531906688458457,0.00236485561773809,0.986351191882927
"3","sample12","sample1",0.00221230644884413,0.00126147709716182,0.000978983626141869,0.971241322420767
"4","sample13","sample1",0.000799688930533303,0.000940577599279011,0.000615770727466826,-0.228800529907129
"5","sample14","sample1",0.000729261630235752,0.00117751243848707,0.00105646538186275,-0.424292945085397
"6","sample15","sample1",0.000883427271686885,0.00048283326419089,0.000314409951255869,1.27411364015635
"7","sample16","sample1",0.00121105029755093,0.00118545553902495,0.000738293143258022,0.0346674742406939
"8","sample17","sample1",0.000933104328793774,0.00100130508268482,0.000706551697204352,-0.0965262048918771
"9","sample18","sample1",0.000709816247997253,0.00080611186770428,0.000623654461632371,-0.154405404965724
"10","sample2","sample1",0.000404376573586633,0.000603047901407645,0.000429317045284962,-0.462761332220439
"11","sample3","sample1",0.00212388196669718,0.0010317453221561,0.000504170328506677,2.16620571023275
"12","sample4","sample1",0.000638884899290455,0.000626288567177844,0.00039721799665704,0.0317113832168265
"13","sample5","sample1",0.000145896443694209,0.000369010056649119,0.000224324846752622,-0.994600536609088
"14","sample6","sample1",0.00030954780842298,0.000326072528038453,0.000251989477163376,-0.0655770225070111
"15","sample7","sample1",0.00385430132753491,0.00328172131065461,0.00100679349052151,0.56871644708758
"16","sample8","sample1",0.000764363913366903,0.000752473885614557,0.000485199527362255,0.024505439683722
"17","sample9","sample1",0.00678217884527352,0.00384163283216983,0.00100681497442283,2.92064191316722
"18","sample11","sample10",0.000535771844243534,0.000532056334401465,0.000206328274057111,0.0180077590385924
"19","sample12","sample10",0.000948938615815976,0.000900300712405585,0.000576331577373738,0.0843922237126541
"20","sample13","sample10",0.00507063923380636,0.00277741177185855,0.000950010828412389,2.41389612977374
"21","sample14","sample10",0.00559312521458,0.00319199974250401,0.00168230449201868,1.42728351702537
"22","sample15","sample10",0.00699426699473564,0.00195783980888075,0.000745801797345752,6.75303707201983
"23","sample16","sample10",0.0046393780756466,0.00218894708457313,0.000609140560652277,4.02276773106278
"24","sample17","sample10",0.00561191927500572,0.00300110439316777,0.00126549821015836,2.06307275733819
"25","sample18","sample10",0.00388176956969558,0.00188711940661479,0.000616950938374815,3.23307744426995
"26","sample2","sample10",0.0065947640335317,0.00307600643739986,0.000880121463634208,3.998036341032
"27","sample3","sample10",0.00431108248455024,0.00329286198929961,0.00109405452997416,0.930685324500852
"28","sample4","sample10",0.0054505357347219,0.00344570580367361,0.0011271189200753,1.77872085663716
"29","sample5","sample10",0.00306906285763333,0.00190739755951019,0.000775568789928375,1.49782367883888
"30","sample6","sample10",0.00772576190203708,0.00227596953679332,0.00105824694620321,5.14983046707256
"31","sample7","sample10",0.00175583128290227,0.00216445545319295,0.000877004570771306,-0.465931631269959
"32","sample8","sample10",0.000665003647859922,0.000538657465953307,0.000271109549041911,0.466033683996438
"33","sample9","sample10",0.00144101153009842,0.00189852556363012,0.000738950900118859,-0.619139963775821
"34","sample12","sample11",0.00277346453707942,0.00168699952792401,0.000766023432342081,1.41831824365163
"35","sample13","sample11",0.00570112003604944,0.00301543649147402,0.00122420522680721,2.19381806723684
"36","sample14","sample11",0.00763826819638361,0.00487064047837034,0.00280072813065275,0.988181497419474
"37","sample15","sample11",0.0071930267223621,0.00217905425297551,0.000399394843070578,12.5539239085782
"38","sample16","sample11",0.00506822899977111,0.00257363848277638,0.000544272457124531,4.58334880690824
"39","sample17","sample11",0.00710255207141222,0.00403535162508583,0.0024180605192251,1.26845478925785
"40","sample18","sample11",0.00527764448386358,0.00238491850967041,0.000574508980483713,5.03512751316372
"41","sample2","sample11",0.00663829394598306,0.00398882230630579,0.00102304954666495,2.58977842110805
"42","sample3","sample11",0.00725028689345388,0.00350490307421607,0.00135107245087534,2.77215616143401
"43","sample4","sample11",0.00566679589150835,0.00408571766279469,0.00222861200044935,0.709445263865973
"44","sample5","sample11",0.00328068350881208,0.0022431798752575,0.00083527786586966,1.2421059816716
"45","sample6","sample11",0.0103940542029068,0.00371020830710689,0.00123344224490301,5.4188559889365
"46","sample7","sample11",0.00362413109407187,0.00408713987754635,0.00126012878800574,-0.3674297324857
"47","sample8","sample11",0.00177740966182193,0.00135381539682994,0.000528978161278226,0.800778360997764
"48","sample9","sample11",0.00260993877317464,0.00274804743648432,0.000492298497180791,-0.280538462133398
"49","sample13","sample12",0.00125669675555047,0.000893251766708629,0.000586101475188409,0.62010591037159
"50","sample14","sample12",0.00198721160448615,0.00149949291886015,0.00107113055707529,0.455330755344811
"51","sample15","sample12",0.00132192642767224,0.000432924074444953,0.000211166927558129,4.20995069401938
"52","sample16","sample12",0.00146177085717555,0.000735145943007553,0.000232232881638077,3.12886318699868
"53","sample17","sample12",0.00161450725280385,0.0011270483162623,0.000552864643951737,0.881696707999464
"54","sample18","sample12",0.00102668080510414,0.000451315268081941,0.000124672792089177,4.61500482487508
"55","sample2","sample12",0.00438820375085832,0.0015405564130808,0.000821767009743704,3.46527337312514
"56","sample3","sample12",0.00228747267681392,0.00138151419804303,0.000666575999174711,1.35912256050706
"57","sample4","sample12",0.00269269769970245,0.00224692270828565,0.00115778921813935,0.385022579613579
"58","sample5","sample12",0.00123307457370108,0.00160317310168231,0.0012678389624592,-0.291912884001734
"59","sample6","sample12",0.0011189642223621,0.000789405084115358,0.00058757986152288,0.560875482343102
"60","sample7","sample12",0.000938920734149691,0.0012054514262417,0.000526898535146347,-0.505848231325947
"61","sample8","sample12",5.53454737926299e-05,8.72648489356832e-05,6.83639104588148e-05,-0.466903881431459
"62","sample9","sample12",0.00291147538052186,0.0018242235351339,0.000497501585606888,2.18542387972825
"63","sample14","sample13",1.18726396200504e-05,1.2457298580911e-05,1.52414488917651e-05,-0.0383598019461587
"64","sample15","sample13",0.000239491302357519,6.93076075761044e-05,5.53951501913862e-05,3.07217679153215
"65","sample16","sample13",9.09287022201877e-05,9.74035462920577e-05,9.00548273759551e-05,-0.07189891159126
"66","sample17","sample13",1.20460917830167e-05,1.19445239185168e-05,1.40985229914949e-05,0.00720414929713977
"67","sample18","sample13",2.50665197985809e-06,5.04134241245136e-06,4.14298914867537e-06,-0.611802334409609
"68","sample2","sample13",0.0011070984493019,0.00107451861123827,0.000500326061568146,0.0651172116869481
"69","sample3","sample13",0.000878705295834287,0.00102736309796292,0.000763656043450945,-0.194665914587479
"70","sample4","sample13",0.000780315361066606,0.000751670004577707,0.000743572736450026,0.0385239467300242
"71","sample5","sample13",0.000149497811284047,0.000335838027866789,0.000320140425001693,-0.582057753505378
"72","sample6","sample13",0.00125399032959487,0.00145937434910735,0.000725083981746155,-0.283255491340281
"73","sample7","sample13",0.00350460753318837,0.00310787990672923,0.000851897470076028,0.465698796386539
"74","sample8","sample13",0.00113774648088808,0.000739830052643626,0.000321322214627511,1.23837198341773
"75","sample9","sample13",0.0085896454423209,0.0055264700732433,0.00132742784455528,2.30760216582908
"76","sample15","sample14",0.000937527108606088,0.000264813501373312,0.000203182777455446,3.31087907970098
"77","sample16","sample14",7.25840438315404e-05,6.80052786678874e-05,5.51273569556882e-05,0.0830579482947724
"78","sample17","sample14",2.50665197985809e-06,5.04134241245136e-06,4.14298914867537e-06,-0.611802334409609
"79","sample18","sample14",2.52961203936828e-06,3.33986610208286e-06,2.68580766506948e-06,-0.301679853420785
"80","sample2","sample14",0.000987627675097276,0.00135250886215381,0.000830901234276433,-0.439139060100544
"81","sample3","sample14",0.000986837305447471,0.00114063485637446,0.00104600283766291,-0.147033588618762
"82","sample4","sample14",0.0012971185482948,0.000921826605058366,0.00112151388769377,0.33462977797642
"83","sample5","sample14",4.81965981918059e-05,0.000103412544346532,7.32407252526173e-05,-0.753896769376315
"84","sample6","sample14",0.00217941834515908,0.00216567119907301,0.00141883948862068,0.00968900724593252
"85","sample7","sample14",0.00397645964465553,0.0036211577663653,0.00108527072164711,0.327385481984612
"86","sample8","sample14",0.00187324323357748,0.00123622785534447,0.000611633576243297,1.041498379055
"87","sample9","sample14",0.00820731703479057,0.00600914235236896,0.0014026085251152,1.5672047068451
"88","sample16","sample15",0.000511179117074846,0.0001745499828336,0.000107422689455225,3.13368745419053
"89","sample17","sample15",0.000906223964293889,0.000254284318493935,0.000193952150389108,3.3613427048477
"90","sample18","sample15",0.000683667815861753,0.000190698393511101,0.000151937308319565,3.24455808650898
"91","sample2","sample15",0.00143853019855802,0.000839055855172808,0.000374751011684469,1.5996603736722
"92","sample3","sample15",0.00240602483405814,0.000878216868848707,0.000581218869698147,2.62862760461113
"93","sample4","sample15",0.000186723005836576,0.000129865265220874,8.30480621654815e-05,0.684636572282768
"94","sample5","sample15",0.000120360494392309,0.000169457470244907,0.000151104977925895,-0.324919645444613
"95","sample6","sample15",0.00176389369707027,0.00111121221961547,0.00053470981508089,1.22062744884542
"96","sample7","sample15",0.00355242740043488,0.00240204986123827,0.000723109979779693,1.5908749310127
"97","sample8","sample15",0.00114146057450217,0.000524554603456168,0.000208465287744823,2.95927431237926
"98","sample9","sample15",0.0100894058995193,0.00456249583714809,0.00104231221613208,5.30254752542485
"99","sample17","sample16",6.60375658045319e-05,6.15657902265965e-05,4.54019420754005e-05,0.0984930461897209
"100","sample18","sample16",8.60256923781185e-05,7.8540419718471e-05,5.8120165581169e-05,0.128789596258011
"101","sample2","sample16",0.001441781443122,0.00135129477569238,0.00080810859049145,0.111973401216523
"102","sample3","sample16",0.000853331425955596,0.000859496330682078,0.000451943283861751,-0.0136408813818502
"103","sample4","sample16",0.000863032086861982,0.000521354514763104,0.000393963530417469,0.867282237360435
"104","sample5","sample16",0.000134023804074159,0.000175478613527123,0.000143046842506845,-0.289798842997744
"105","sample6","sample16",0.00214547014476997,0.0018100343041886,0.000957182137823033,0.350440973903115
"106","sample7","sample16",0.00406380586232548,0.00343536120250629,0.000944219869968785,0.665570255199095
"107","sample8","sample16",0.00174899812600137,0.00123609292744335,0.00059782770235443,0.857948195672505
"108","sample9","sample16",0.00706824895571069,0.00588028984035248,0.0010883267136736,1.09154640829158
"109","sample18","sample17",2.35615987640192e-06,3.852640764477e-06,3.94729698701944e-06,-0.379115352352813
"110","sample2","sample17",0.00133591833085374,0.00151237022917144,0.00081393101844896,-0.216789745467549
"111","sample3","sample17",0.00076635922121767,0.000752065439745937,0.000357898661531922,0.0399380690907048
"112","sample4","sample17",0.00100590216582742,0.000420566362439918,0.000400313947623123,1.46219187930611
"113","sample5","sample17",4.77186570153353e-05,8.70446111810483e-05,6.93862936078801e-05,-0.566768335947646
"114","sample6","sample17",0.00161047779812314,0.00136986212520027,0.000933776892689532,0.257680046279392
"115","sample7","sample17",0.00407372875658045,0.00326419292172122,0.000811182295667896,0.997970294941775
"116","sample8","sample17",0.00211438415541314,0.00153110762617304,0.000763035350978962,0.764416128940509
"117","sample9","sample17",0.00703033038166628,0.00520754903152895,0.000764843461994356,2.38320838277726
"118","sample2","sample18",0.00110931928072786,0.00137202194438087,0.000872252698622354,-0.301177243782594
"119","sample3","sample18",0.00123721568150607,0.000761442392423896,0.000315035722542581,1.51022012755351
"120","sample4","sample18",0.000828872525177386,0.000338207563229572,0.000295421963124049,1.66089534020794
"121","sample5","sample18",7.16908188372625e-05,0.000148724236095216,0.000149138828757201,-0.516521538353802
"122","sample6","sample18",0.00142393132009613,0.00134158543860151,0.000919493467606394,0.0895557003890218
"123","sample7","sample18",0.0038329561255436,0.00303592747911421,0.000725086028846936,1.09921942324121
"124","sample8","sample18",0.00154868061913481,0.00110408756294347,0.00062908938786541,0.706724775154634
"125","sample9","sample18",0.0074648188229572,0.00516104224364843,0.00068026806296006,3.38657171304546
"126","sample3","sample2",0.00312635328450446,0.00177957903696498,0.000813624598101405,1.65527720115909
"127","sample4","sample2",0.00117181198500801,0.00106517841611353,0.000471946284034311,0.225944291759127
"128","sample5","sample2",0.000394025449187457,0.000684265721560998,0.000386467455815207,-0.751008313911747
"129","sample6","sample2",0.00364897638189517,0.00192181520370794,0.000525831877966648,3.28462622856954
"130","sample7","sample2",0.00587307214179446,0.00465319180590524,0.00121575017413039,1.0033972125579
"131","sample8","sample2",0.00128267524032959,0.00122395345044633,0.00054027555192098,0.108688593578739
"132","sample9","sample2",0.00955524898432135,0.0052239077234493,0.00131983234590088,3.28173595254297
"133","sample4","sample3",0.000701026050011444,0.000294859292744335,0.000161941771675562,2.50810370335353
"134","sample5","sample3",0.000260756823643854,0.000186160219729915,7.878648626166e-05,0.94681978412128
"135","sample6","sample3",0.00380747653925383,0.00160818589065003,0.000725458409945605,3.03158750171316
"136","sample7","sample3",0.00395460367074846,0.00315698005121309,0.000782753777858215,1.01899683156795
"137","sample8","sample3",0.00207231853685054,0.00162835548752575,0.000759040141845012,0.584900619676898
"138","sample9","sample3",0.00740910198271916,0.00498156066891737,0.000838011109438357,2.89678894045778
"139","sample5","sample4",0.000195179531929503,8.51152437628748e-05,3.49200210448573e-05,3.15189638703949
"140","sample6","sample4",0.00192076383325704,0.000857062342641337,0.000393406048960979,2.70382596664447
"141","sample7","sample4",0.00431298723964294,0.00618857001745251,0.0036970968165631,-0.507312323931281
"142","sample8","sample4",0.00257119091897459,0.0023166391837377,0.00126365052335424,0.201441561992324
"143","sample9","sample4",0.00965476446269169,0.0056969513618677,0.001731427433888,2.28586715409524
"144","sample6","sample5",0.000480219086175326,0.000415570403696498,0.000269439244534371,0.239937885034343
"145","sample7","sample5",0.00304963278210117,0.00547375274662394,0.00380556648652683,-0.636993197492434
"146","sample8","sample5",0.000915530227168688,0.00142078653582055,0.00120435904377893,-0.419522991305413
"147","sample9","sample5",0.00675891587033646,0.00435926979142824,0.000731800854062742,3.2790971281136
"148","sample7","sample6",0.00280548452162966,0.00226765225881209,0.000619349472790047,0.868382531101141
"149","sample8","sample6",0.0010627390421149,0.000768870200560769,0.000529776539426215,0.554703388474718
"150","sample9","sample6",0.0111820965180819,0.00401909872110323,0.00125577835825067,5.70403029317766
"151","sample8","sample7",0.000326549196040284,0.000410865272373541,0.000110749749797226,-0.761320693614504
"152","sample9","sample7",0.00277642216468299,0.00201301549267567,0.00077190712684254,0.988987723341813
"153","sample9","sample8",0.00173747110322728,0.00125001190203708,0.000338988261042859,1.43798254160953
